['Acoustic Bass', 0, 'II', 166.0, 1, 30]
['Acoustic Bass', 0, 'V', 167.0, 1, 30]
['Acoustic Bass', 0, 'I', 168.0, 1, 30]
['Acoustic Bass', 0, 'V', 169.0, 1, 30]
['Acoustic Bass', 0, 'VI', 170.0, 1, 30]
['Acoustic Bass', 0, 'III', 171.0, 1, 30]
['Acoustic Bass', 0, 'IV', 172.0, 1, 30]
['Acoustic Bass', 0, 'I', 173.0, 1, 30]
['Acoustic Bass', 0, 'II', 174.0, 1, 30]
['Acoustic Bass', 0, 'V', 175.0, 1, 30]
['Acoustic Bass', 0, 'I', 176.0, 1, 30]
['Acoustic Bass', 0, 'V', 177.0, 1, 30]
['Acoustic Bass', 0, 'VI', 178.0, 1, 30]
['Acoustic Bass', 0, 'III', 179.0, 1, 30]
['Acoustic Bass', 0, 'IV', 180.0, 1, 30]
['Acoustic Bass', 0, 'I', 181.0, 1, 30]
['Acoustic Bass', 0, 'II', 182.0, 1, 30]
['Acoustic Bass', 0, 'V', 183.0, 1, 30]
['Acoustic Bass', 0, 'I', 184.0, 1, 30]
['Acoustic Bass', 0, 'V', 185.0, 1, 30]
['Acoustic Bass', 0, 'VI', 186.0, 1, 30]
['Acoustic Bass', 0, 'III', 187.0, 1, 30]
['Acoustic Bass', 0, 'IV', 188.0, 1, 30]
['Acoustic Bass', 0, 'I', 189.0, 1, 30]
['Acoustic Bass', 0, 'II', 190.0, 1, 30]
['Acoustic Bass', 0, 'V', 191.0, 1, 30]
['Acoustic Bass', 0, 'I', 192.0, 1, 30]
['Acoustic Bass', 0, 'V', 193.0, 1, 30]
['Acoustic Bass', 0, 'VI', 194.0, 1, 30]
['Acoustic Bass', 0, 'III', 195.0, 1, 30]
['Acoustic Bass', 0, 'IV', 196.0, 1, 30]
['Acoustic Bass', 0, 'I', 197.0, 1, 30]
['Acoustic Bass', 0, 'II', 198.0, 1, 30]
['Acoustic Bass', 0, 'V', 199.0, 1, 30]
['Acoustic Bass', 0, 'I', 200.0, 1, 30]
['piano', 1, 'IV', 16.0, 0.5, 115]
['Flute', 1, 'IV', 16.0, 0.5, 35]
['piano', 1, 'I', 16.5, 0.5, 99]
['Flute', 1, 'I', 16.5, 0.5, 19]
['piano', 1, 'II', 17.0, 0.5, 113]
['Flute', 1, 'II', 17.0, 0.5, 33]
['piano', 1, 'V', 17.5, 1.5, 100]
['Flute', 1, 'V', 17.5, 1.5, 20]
['piano', 1, 'VI', 19.0, 0.5, 117]
['Flute', 1, 'VI', 19.0, 0.5, 37]
['piano', 1, 'III', 19.5, 0.5, 101]
['Flute', 1, 'III', 19.5, 0.5, 21]
['piano', 1, 'I', 20.0, 0.5, 112]
['Flute', 1, 'I', 20.0, 0.5, 32]
['piano', 1, 'II', 20.5, 1.5, 99]
['Flute', 1, 'II', 20.5, 1.5, 19]
['piano', 1, 'V', 22.0, 0.5, 116]
['Flute', 1, 'V', 22.0, 0.5, 36]
['piano', 1, 'VI', 22.5, 0.5, 100]
['Flute', 1, 'VI', 22.5, 0.5, 20]
['piano', 1, 'III', 23.0, 0.5, 112]
['Flute', 1, 'III', 23.0, 0.5, 32]
['piano', 1, 'I', 23.5, 1.5, 101]
['Flute', 1, 'I', 23.5, 1.5, 21]
['piano', 1, 'II', 25.0, 0.5, 116]
['Flute', 1, 'II', 25.0, 0.5, 36]
['piano', 1, 'V', 25.5, 0.5, 101]
['Flute', 1, 'V', 25.5, 0.5, 21]
['piano', 1, 'VI', 26.0, 0.5, 115]
['Flute', 1, 'VI', 26.0, 0.5, 35]
['piano', 1, 'III', 26.5, 1.5, 101]
['Flute', 1, 'III', 26.5, 1.5, 21]
['piano', 1, 'ii', 28.0, 0.5, 116]
['Flute', 1, 'ii', 28.0, 0.5, 36]
['piano', 1, 'II', 28.5, 0.5, 101]
['Flute', 1, 'II', 28.5, 0.5, 21]
['piano', 1, 'V', 29.0, 0.5, 116]
['Flute', 1, 'V', 29.0, 0.5, 36]
['piano', 1, 'VI', 29.5, 1.5, 100]
['Flute', 1, 'VI', 29.5, 1.5, 20]
['piano', 1, 'III', 31.0, 0.5, 116]
['Flute', 1, 'III', 31.0, 0.5, 36]
['piano', 1, 'I', 31.5, 0.5, 100]
['Flute', 1, 'I', 31.5, 0.5, 20]
['piano', 1, 'II', 32.0, 0.5, 116]
['Flute', 1, 'II', 32.0, 0.5, 36]
['piano', 1, 'V', 32.5, 1.5, 101]
['Flute', 1, 'V', 32.5, 1.5, 21]
['piano', 1, 'VI', 34.0, 0.5, 118]
['Flute', 1, 'VI', 34.0, 0.5, 38]
['piano', 1, 'III', 34.5, 0.5, 99]
['Flute', 1, 'III', 34.5, 0.5, 19]
['piano', 1, 'I', 35.0, 0.5, 116]
['Flute', 1, 'I', 35.0, 0.5, 36]
['piano', 1, 'II', 35.5, 1.5, 99]
['Flute', 1, 'II', 35.5, 1.5, 19]
['piano', 1, 'V', 37.0, 0.5, 118]
['Flute', 1, 'V', 37.0, 0.5, 38]
['piano', 1, 'VI', 37.5, 0.5, 99]
['Flute', 1, 'VI', 37.5, 0.5, 19]
['piano', 1, 'III', 38.0, 0.5, 114]
['Flute', 1, 'III', 38.0, 0.5, 34]
['piano', 1, 'I', 38.5, 1.5, 99]
['Flute', 1, 'I', 38.5, 1.5, 19]
['piano', 1, 'V', 40.0, 0.5, 117]
['Flute', 1, 'V', 40.0, 0.5, 37]
['piano', 1, 'VI', 40.5, 0.5, 100]
['Flute', 1, 'VI', 40.5, 0.5, 20]
['piano', 1, 'III', 41.0, 0.25, 114]
['Flute', 1, 'III', 41.0, 0.25, 34]
['piano', 1, 'I', 41.25, 0.75, 99]
['Flute', 1, 'I', 41.25, 0.75, 19]
['piano', 1, 'II', 42.0, 0.5, 114]
['Flute', 1, 'II', 42.0, 0.5, 34]
['piano', 1, 'V', 42.5, 0.5, 100]
['Flute', 1, 'V', 42.5, 0.5, 20]
['piano', 1, 'VI', 43.0, 0.25, 116]
['Flute', 1, 'VI', 43.0, 0.25, 36]
['piano', 1, 'III', 43.25, 0.75, 100]
['Flute', 1, 'III', 43.25, 0.75, 20]
['piano', 1, 'I', 44.0, 0.5, 114]
['Flute', 1, 'I', 44.0, 0.5, 34]
['piano', 1, 'II', 44.5, 0.5, 99]
['Flute', 1, 'II', 44.5, 0.5, 19]
['piano', 1, 'V', 45.0, 0.25, 112]
['Flute', 1, 'V', 45.0, 0.25, 32]
['piano', 1, 'VI', 45.25, 0.75, 101]
['Flute', 1, 'VI', 45.25, 0.75, 21]
['piano', 1, 'III', 46.0, 0.5, 115]
['Flute', 1, 'III', 46.0, 0.5, 35]
['piano', 1, 'I', 46.5, 0.5, 101]
['Flute', 1, 'I', 46.5, 0.5, 21]
['piano', 1, 'II', 47.0, 0.25, 114]
['Flute', 1, 'II', 47.0, 0.25, 34]
['piano', 1, 'V', 47.25, 0.75, 99]
['Flute', 1, 'V', 47.25, 0.75, 19]
['piano', 1, 'I', 48.0, 0.5, 115]
['Flute', 1, 'I', 48.0, 0.5, 35]
['piano', 1, 'II', 48.5, 0.5, 100]
['Flute', 1, 'II', 48.5, 0.5, 20]
['piano', 1, 'V', 49.0, 0.5, 115]
['Flute', 1, 'V', 49.0, 0.5, 35]
['piano', 1, 'VI', 49.5, 1.5, 100]
['Flute', 1, 'VI', 49.5, 1.5, 20]
['piano', 1, 'III', 51.0, 0.5, 115]
['Flute', 1, 'III', 51.0, 0.5, 35]
['piano', 1, 'I', 51.5, 0.5, 99]
['Flute', 1, 'I', 51.5, 0.5, 19]
['piano', 1, 'II', 52.0, 0.5, 112]
['Flute', 1, 'II', 52.0, 0.5, 32]
['piano', 1, 'V', 52.5, 1.5, 101]
['Flute', 1, 'V', 52.5, 1.5, 21]
['piano', 1, 'VI', 54.0, 0.5, 118]
['Flute', 1, 'VI', 54.0, 0.5, 38]
['piano', 1, 'III', 54.5, 0.5, 99]
['Flute', 1, 'III', 54.5, 0.5, 19]
['piano', 1, 'I', 55.0, 0.5, 114]
['Flute', 1, 'I', 55.0, 0.5, 34]
['piano', 1, 'II', 55.5, 1.5, 101]
['Flute', 1, 'II', 55.5, 1.5, 21]
['piano', 1, 'V', 57.0, 0.5, 114]
['Flute', 1, 'V', 57.0, 0.5, 34]
['piano', 1, 'VI', 57.5, 0.5, 99]
['Flute', 1, 'VI', 57.5, 0.5, 19]
['piano', 1, 'III', 58.0, 0.5, 114]
['Flute', 1, 'III', 58.0, 0.5, 34]
['piano', 1, 'I', 58.5, 1.5, 99]
['Flute', 1, 'I', 58.5, 1.5, 19]
['piano', 1, 'IV', 60.0, 0.5, 115]
['Flute', 1, 'IV', 60.0, 0.5, 35]
['piano', 1, 'I', 60.5, 0.5, 99]
['Flute', 1, 'I', 60.5, 0.5, 19]
['piano', 1, 'II', 61.0, 0.5, 113]
['Flute', 1, 'II', 61.0, 0.5, 33]
['piano', 1, 'V', 61.5, 1.5, 100]
['Flute', 1, 'V', 61.5, 1.5, 20]
['piano', 1, 'VI', 63.0, 0.5, 117]
['Flute', 1, 'VI', 63.0, 0.5, 37]
['piano', 1, 'III', 63.5, 0.5, 101]
['Flute', 1, 'III', 63.5, 0.5, 21]
['piano', 1, 'I', 64.0, 0.5, 112]
['Flute', 1, 'I', 64.0, 0.5, 32]
['piano', 1, 'II', 64.5, 1.5, 99]
['Flute', 1, 'II', 64.5, 1.5, 19]
['piano', 1, 'V', 66.0, 0.5, 116]
['Flute', 1, 'V', 66.0, 0.5, 36]
['piano', 1, 'VI', 66.5, 0.5, 100]
['Flute', 1, 'VI', 66.5, 0.5, 20]
['piano', 1, 'III', 67.0, 0.5, 112]
['Flute', 1, 'III', 67.0, 0.5, 32]
['piano', 1, 'I', 67.5, 1.5, 101]
['Flute', 1, 'I', 67.5, 1.5, 21]
['piano', 1, 'II', 69.0, 0.5, 116]
['Flute', 1, 'II', 69.0, 0.5, 36]
['piano', 1, 'V', 69.5, 0.5, 101]
['Flute', 1, 'V', 69.5, 0.5, 21]
['piano', 1, 'VI', 70.0, 0.5, 115]
['Flute', 1, 'VI', 70.0, 0.5, 35]
['piano', 1, 'III', 70.5, 1.5, 101]
['Flute', 1, 'III', 70.5, 1.5, 21]
['piano', 1, 'I', 72.0, 0.25, 118]
['Flute', 1, 'I', 72.0, 0.25, 38]
['piano', 1, 'II', 72.25, 0.25, 101]
['Flute', 1, 'II', 72.25, 0.25, 21]
['piano', 1, 'V', 72.5, 0.5, 113]
['Flute', 1, 'V', 72.5, 0.5, 33]
['piano', 1, 'VI', 73.0, 0.25, 99]
['Flute', 1, 'VI', 73.0, 0.25, 19]
['piano', 1, 'III', 73.25, 1, 113]
['Flute', 1, 'III', 73.25, 1, 33]
['piano', 1, 'I', 74.25, 0.25, 115]
['Flute', 1, 'I', 74.25, 0.25, 35]
['piano', 1, 'II', 74.5, 0.25, 100]
['Flute', 1, 'II', 74.5, 0.25, 20]
['piano', 1, 'V', 74.75, 0.5, 114]
['Flute', 1, 'V', 74.75, 0.5, 34]
['piano', 1, 'VI', 75.25, 0.25, 101]
['Flute', 1, 'VI', 75.25, 0.25, 21]
['piano', 1, 'III', 75.5, 1, 113]
['Flute', 1, 'III', 75.5, 1, 33]
['piano', 1, 'I', 76.5, 0.25, 118]
['Flute', 1, 'I', 76.5, 0.25, 38]
['piano', 1, 'II', 76.75, 0.25, 100]
['Flute', 1, 'II', 76.75, 0.25, 20]
['piano', 1, 'V', 77.0, 0.5, 114]
['Flute', 1, 'V', 77.0, 0.5, 34]
['piano', 1, 'VI', 77.5, 0.25, 101]
['Flute', 1, 'VI', 77.5, 0.25, 21]
['piano', 1, 'III', 77.75, 1, 112]
['Flute', 1, 'III', 77.75, 1, 32]
['piano', 1, 'I', 78.75, 0.25, 116]
['Flute', 1, 'I', 78.75, 0.25, 36]
['piano', 1, 'vi', 79.0, 0.5, 114]
['Flute', 1, 'vi', 79.0, 0.5, 34]
['piano', 1, 'vii', 79.5, 0.5, 100]
['Flute', 1, 'vii', 79.5, 0.5, 20]
['piano', 1, 'vi', 80.0, 0.5, 113]
['Flute', 1, 'vi', 80.0, 0.5, 33]
['piano', 1, 'IV', 80.5, 1.5, 99]
['Flute', 1, 'IV', 80.5, 1.5, 19]
['piano', 1, 'I', 82.0, 0.5, 116]
['Flute', 1, 'I', 82.0, 0.5, 36]
['piano', 1, 'II', 82.5, 0.5, 101]
['Flute', 1, 'II', 82.5, 0.5, 21]
['piano', 1, 'V', 83.0, 0.5, 112]
['Flute', 1, 'V', 83.0, 0.5, 32]
['piano', 1, 'VI', 83.5, 1.5, 101]
['Flute', 1, 'VI', 83.5, 1.5, 21]
['piano', 1, 'III', 85.0, 0.5, 115]
['Flute', 1, 'III', 85.0, 0.5, 35]
['piano', 1, 'I', 85.5, 0.5, 100]
['Flute', 1, 'I', 85.5, 0.5, 20]
['piano', 1, 'II', 86.0, 0.5, 116]
['Flute', 1, 'II', 86.0, 0.5, 36]
['piano', 1, 'V', 86.5, 1.5, 99]
['Flute', 1, 'V', 86.5, 1.5, 19]
['piano', 1, 'VI', 88.0, 0.5, 115]
['Flute', 1, 'VI', 88.0, 0.5, 35]
['piano', 1, 'III', 88.5, 0.5, 99]
['Flute', 1, 'III', 88.5, 0.5, 19]
['piano', 1, 'I', 89.0, 0.5, 112]
['Flute', 1, 'I', 89.0, 0.5, 32]
['piano', 1, 'II', 89.5, 1.5, 100]
['Flute', 1, 'II', 89.5, 1.5, 20]
['piano', 1, 'V', 91.0, 0.5, 115]
['Flute', 1, 'V', 91.0, 0.5, 35]
['piano', 1, 'VI', 91.5, 0.5, 100]
['Flute', 1, 'VI', 91.5, 0.5, 20]
['piano', 1, 'III', 92.0, 0.5, 115]
['Flute', 1, 'III', 92.0, 0.5, 35]
['piano', 1, 'I', 92.5, 1.5, 101]
['Flute', 1, 'I', 92.5, 1.5, 21]
['piano', 1, 'II', 94.0, 0.5, 114]
['Flute', 1, 'II', 94.0, 0.5, 34]
['piano', 1, 'V', 94.5, 0.5, 100]
['Flute', 1, 'V', 94.5, 0.5, 20]
['piano', 1, 'VI', 95.0, 0.5, 112]
['Flute', 1, 'VI', 95.0, 0.5, 32]
['piano', 1, 'III', 95.5, 1.5, 101]
['Flute', 1, 'III', 95.5, 1.5, 21]
['piano', 1, 'I', 97.0, 0.5, 116]
['Flute', 1, 'I', 97.0, 0.5, 36]
['piano', 1, 'II', 97.5, 0.5, 100]
['Flute', 1, 'II', 97.5, 0.5, 20]
['piano', 1, 'V', 98.0, 0.5, 113]
['Flute', 1, 'V', 98.0, 0.5, 33]
['piano', 1, 'VI', 98.5, 1.5, 99]
['Flute', 1, 'VI', 98.5, 1.5, 19]
['piano', 1, 'III', 100.0, 0.5, 118]
['Flute', 1, 'III', 100.0, 0.5, 38]
['piano', 1, 'I', 100.5, 0.5, 99]
['Flute', 1, 'I', 100.5, 0.5, 19]
['piano', 1, 'II', 101.0, 0.5, 113]
['Flute', 1, 'II', 101.0, 0.5, 33]
['piano', 1, 'V', 101.5, 1.5, 100]
['Flute', 1, 'V', 101.5, 1.5, 20]
['piano', 1, 'IV', 103.0, 0.5, 115]
['Flute', 1, 'IV', 103.0, 0.5, 35]
['piano', 1, 'II', 103.5, 0.5, 101]
['Flute', 1, 'II', 103.5, 0.5, 21]
['piano', 1, 'V', 104.0, 0.25, 112]
['Flute', 1, 'V', 104.0, 0.25, 32]
['piano', 1, 'VI', 104.25, 0.75, 99]
['Flute', 1, 'VI', 104.25, 0.75, 19]
['piano', 1, 'III', 105.0, 0.5, 117]
['Flute', 1, 'III', 105.0, 0.5, 37]
['piano', 1, 'iv', 105.5, 0.5, 101]
['Flute', 1, 'iv', 105.5, 0.5, 21]
['piano', 1, 'iv', 106.0, 0.25, 112]
['Flute', 1, 'iv', 106.0, 0.25, 32]
['piano', 1, 'IV', 106.25, 0.75, 101]
['Flute', 1, 'IV', 106.25, 0.75, 21]
